Date,Open,High,Low,Close,Volume,MarketValue,DividendYield,PriceToEarnings,EPS,PriceToCash,PriceToBook
13/02/2015,136.2781683,137.3332795,128.3437367,131.7200928,1788034,87579.94,1.73,18.3,8.51,19.77,3.7
16/02/2015,131.2136251,131.2980391,130.1163069,130.4117432,812377,86710.06,1.75,18.2,8.51,19.57,3.66
17/02/2015,130.4117272,131.298023,129.2300079,131.171402,772836,87215.13,1.74,18.3,8.51,19.69,3.69
18/02/2015,130.833816,131.5090899,130.3695644,131.2136536,872706,87243.19,1.74,18.3,8.51,19.69,3.69
19/02/2015,130.664962,132.6485632,130.3273187,132.606369,860374,88169.25,1.72,18.5,8.51,19.9,3.73
20/02/2015,132.3109615,133.3660729,131.5090795,133.0284424,1086755,88449.88,1.71,18.5,8.51,19.97,3.74
23/02/2015,133.3660787,134.2101678,132.6908048,133.9991455,560015,89095.25,1.7,18.7,8.51,20.11,3.76
24/02/2015,134.2101649,134.8854387,132.9018242,134.4633942,706853,89403.94,1.69,18.7,8.51,20.18,3.78
25/02/2015,134.2101588,134.8854327,133.8303213,134.5899963,557318,89488.13,1.69,18.7,8.51,20.2,3.78
26/02/2015,134.7165889,136.2359386,133.745879,136.0671234,645209,90470.31,1.67,19,8.51,20.42,3.82
27/02/2015,135.8983341,136.9534454,134.5477865,136.9534454,732689,91059.56,1.66,19.1,8.51,20.55,3.85
03/02/2015,137.4599101,137.5021042,135.6873179,136.8268433,615748,90975.38,1.67,19.1,8.51,20.54,3.84
03/03/2015,136.3203728,137.9663437,135.5184908,135.9827423,545506,90414.19,1.68,18.9,8.51,20.41,3.82
03/04/2015,136.4047882,137.8397369,135.0542406,137.8397369,684737,91648.88,1.65,19.2,8.51,20.69,3.87
03/05/2015,138.1351566,139.1902679,137.9663414,139.0636597,775649,92462.69,1.64,19.4,8.51,20.87,3.91
03/06/2015,138.7260319,139.9921654,138.5994109,139.7811432,659532,92939.75,1.63,19.5,8.51,20.98,3.93
03/09/2015,138.9791972,139.6544707,137.7974782,139.5278625,618031,92771.31,1.63,19.4,8.51,20.94,3.92
03/10/2015,139.0214667,139.7811546,138.3461928,139.1058807,625121,92490.75,1.64,19.4,8.51,20.88,3.91
03/11/2015,140.034342,143.4951116,139.6545045,143.2418823,1006589,95240.75,1.59,20,8.51,21.5,4.02
03/12/2015,142.9042748,143.7483638,142.229001,142.6932526,573673,94875.94,1.6,19.9,8.51,21.42,4.01
13/03/2015,142.8620675,144.97229,142.6088382,144.97229,644393,96391.25,1.57,20.2,8.51,21.76,4.07
16/03/2015,145.0144909,146.5338537,144.8034687,146.2806244,642940,97261.19,1.56,20.4,8.51,21.95,4.11
17/03/2015,146.1962064,147.0825024,144.7612577,145.6053467,690887,96812.19,1.57,20.3,8.51,21.85,4.09
18/03/2015,144.5080499,145.436553,143.2841233,144.2970276,975649,95942.31,1.58,20.1,8.51,21.66,4.05
19/03/2015,144.2970059,145.1833019,142.608828,143.7061462,710309,95549.44,1.59,20,8.51,21.57,4.04
20/03/2015,143.5795526,145.6897752,143.5795526,145.2677307,1051530,96587.69,1.57,20.2,8.51,21.8,4.08
23/03/2015,145.5631693,145.6475834,142.9465007,144.4658508,549612,96054.5,1.58,20.1,8.51,21.68,4.06
24/03/2015,144.4658271,146.111811,144.1704037,144.6768494,707685,96194.81,1.58,20.2,8.51,21.71,4.06
25/03/2015,144.1282038,144.4236401,142.1023952,142.6088409,562794,94819.81,1.6,19.9,8.51,21.4,4.01
26/03/2015,141.3849283,142.651062,139.612336,142.651062,753317,94847.88,1.6,19.9,8.51,21.41,4.01
27/03/2015,143.3685117,145.4787341,142.9042603,145.309906,822331,96615.75,1.57,20.2,8.51,21.81,4.08
30/03/2015,145.1833162,147.0825166,144.4236412,145.6475677,586466,96840.25,1.56,20.3,8.51,21.86,4.09
31/03/2015,145.1833422,146.7449123,144.4658612,144.6346893,825185,96166.81,1.58,20.1,8.51,21.71,4.06
04/01/2015,143.8327803,146.2384395,142.9464971,144.5924683,650002,96138.69,1.58,20.1,8.51,21.7,4.06
04/02/2015,145.0144798,146.1961991,144.6768365,145.7741547,358262,96924.44,1.56,20.3,8.51,21.88,4.1
04/07/2015,147.3779549,148.3064452,145.4787545,147.8421936,462511,98299.44,1.54,20.6,8.51,22.19,4.15
04/08/2015,146.7448811,147.5889701,145.6475628,146.9136963,602539,97682.13,1.55,20.5,8.51,22.05,4.13
04/09/2015,147.5467437,148.5174408,147.1246992,148.5174408,579083,98748.44,1.53,20.7,8.51,22.29,4.17
04/10/2015,148.6440824,151.0497284,148.3486461,151.0497284,579074,100432.1,1.51,21,8.51,22.67,4.24
13/04/2015,150.3744642,151.0075311,149.5303752,150.7965088,610608,100263.8,1.51,21,8.51,22.63,4.24
14/04/2015,150.501077,150.6698923,148.7706919,149.9102173,621440,99674.5,1.52,20.9,8.51,22.5,4.21
15/04/2015,150.5010601,151.1341268,149.6991782,150.3322449,547329,99955.06,1.52,20.9,8.51,22.56,4.22
16/04/2015,149.8258091,151.0919427,148.3908602,150.8809204,681541,100319.9,1.51,21,8.51,22.64,4.24
17/04/2015,150.6276984,151.3029723,148.3486604,148.812912,871584,98944.88,1.53,20.7,8.51,22.33,4.18
20/04/2015,147.8421857,149.5725708,147.7577846,149.5725708,710302,99450,1.52,20.8,8.51,22.45,4.2
21/04/2015,150.6276647,153.0333232,149.9101968,150.3744354,795543,99983.13,1.52,20.9,8.51,22.57,4.22
22/04/2015,150.3322635,151.1341455,147.9266046,149.4881744,594842,99393.88,1.52,20.8,8.51,22.44,4.2
23/04/2015,149.9946294,150.543295,146.1118273,147.7155914,842944,98215.25,1.54,20.6,8.51,22.17,4.15
24/04/2015,148.0531965,149.1083077,146.8714772,148.3486328,509431,98636.19,1.54,20.7,8.51,22.26,4.17
27/04/2015,148.1376293,151.5561925,146.322843,151.3029633,709393,100600.5,1.51,21.1,8.51,22.71,4.25
28/04/2015,150.6276841,150.8809134,145.5631499,146.8714905,752047,97654.06,1.55,20.5,8.51,22.04,4.13
29/04/2015,146.9137072,148.4752643,142.81987,142.81987,820080,94960.13,1.6,19.9,8.51,21.44,4.01
30/04/2015,142.651043,145.18331,141.1738872,143.8749695,900945,95661.69,1.58,20,8.51,21.59,4.04
05/04/2015,145.5631576,147.1247275,144.0437947,146.3228455,567817,97289.25,1.56,20.4,8.51,21.96,4.11
