Feature,Skewness,Kurtosis
CDL_MARUBOZU,0.16816803018858612,18.070184946770603
CDL_MATCHINGLOW,8.896186623726035,77.20487849291436
CDL_MATHOLD,0.0,0.0
CDL_MORNINGDOJISTAR,35.05707889033106,1227.9967456526972
CDL_MORNINGSTAR,12.288331632589186,149.12428368261658
CDL_ONNECK,-20.190740327200213,405.9959382837924
CDL_PIERCING,18.68153258727889,347.2818875131239
CDL_RICKSHAWMAN,2.7464936904261017,5.547735453621058
CDL_RISEFALL3METHODS,-49.608467019249886,2461.000000000002
CDL_SEPARATINGLINES,2.5443334740046732,133.89986180435346
CDL_SHOOTINGSTAR,-8.210412693738084,65.46407715881111
CDL_SHORTLINE,0.037910705813828216,5.3835823834019845
CDL_SPINNINGTOP,0.07914460435037717,1.606555904566755
CDL_STALLEDPATTERN,-24.75881221859799,611.4957309682567
CDL_STICKSANDWICH,20.190740327200213,405.9959382837923
CDL_TAKURI,8.090472006892345,63.50734766052745
CDL_TASUKIGAP,-7.312600011202152,186.11514662316637
CDL_THRUSTING,-10.692915614093087,112.42981290959001
CDL_TRISTAR,12.356718554191907,612.9990868554842
CDL_UNIQUE3RIVER,22.13140366315817,488.19577342606897
CDL_UPSIDEGAP2CROWS,-28.60650238988926,816.9959329769439
CDL_XSIDEGAP3METHODS,2.9297809582940877,126.65044256335386
open_Z_30_1,-0.25731965322615974,-0.7405399952551748
high_Z_30_1,-0.2530926352401671,-0.7826684137010047
low_Z_30_1,-0.2535879403588084,-0.7828062413683852
close_Z_30_1,-0.26146539978903804,-0.7803470577180556
CFO_9,0.3295402496511039,2.765163061515988
CG_10,0.21665743452460487,1.7469941568377383
CHDLREXTl_22_22_14_2.0,0.3264537163438519,-1.34920893063053
CHDLREXTs_22_22_14_2.0,0.3240942708487639,-1.3330680395658772
CHDLREXTd_22_22_14_2.0,-0.24162841803903112,-1.943195560672769
CHOP_14_1_100.0,-0.03241348637243611,-0.4893419696343613
CKSPl_10_3_20,0.3341068528547292,-1.3439325586490107
CKSPs_10_3_20,0.31823581161554815,-1.3498745093449351
CMF_20,-0.023915922391991667,-0.22394457495427922
CMO_14,0.1597495625240381,-0.4736090009809746
COPC_11_14_10,-0.0960048593993669,0.3912990001675376
CRSI_3_2_100,-0.09622951475221667,-1.4493970356123111
CTI_12,-0.13368788304400991,-1.48821085490241
CUBE_3.0_-1,0.9364728402816351,-0.33877571613000734
CUBEs_3.0_-1,0.9364728402816351,-0.33877571613000734
LDECAY_1,0.3042531641852366,-1.3830246681681653
DEC_1,0.11321183921232658,-1.9887999942607584
DEMA_10,0.3168669819381857,-1.3289431214593483
DCL_20_20,0.3443812662983661,-1.2921025034150138
DCM_20_20,0.32251874977662753,-1.3447279889314152
DCU_20_20,0.30562442264008977,-1.3819387652239803
DPO_20,-0.27374982744984455,1.3542384807588315
EBSW_40_10,-0.222187500778394,-1.8468442765974944
EFI_13,-3.051492431648928,33.51671088713264
